Age,Gender,Profession,Marital_status,Education,No_of_Dependents,Personal_loan,House_loan,Partner_working,Salary,Partner_salary,Total_salary,Price,Make
53.0,Male,Business,Married,Post Graduate,4,No,No,Yes,99300.0,70700.0,149000.0,61000.0,SUV
53.0,Female,Salaried,Married,Post Graduate,4,Yes,No,Yes,95500.0,70300.0,149000.0,61000.0,SUV
53.0,Female,Salaried,Married,Post Graduate,3,No,No,Yes,97300.0,60700.0,149000.0,57000.0,SUV
53.0,Female,Salaried,Married,Graduate,3,Yes,No,Yes,72500.0,70300.0,142800.0,61000.0,Sedan
53.0,Male,Salaried,Married,Post Graduate,3,No,No,Yes,79700.0,60200.0,139900.0,57000.0,SUV
53.0,Female,Salaried,Married,Post Graduate,3,No,No,Yes,79800.0,60500.0,140300.0,57000.0,SUV
53.0,Female,Salaried,Married,Post Graduate,3,Yes,No,Yes,80900.0,50800.0,131700.0,51000.0,SUV
52.0,Male,Salaried,Married,Graduate,4,No,No,Yes,79100.0,40400.0,119500.0,68000.0,SUV
52.0,Male,Salaried,Married,Post Graduate,3,No,No,No,89400.0,0.0,89400.0,61000.0,SUV
52.0,Male,Salaried,Married,Post Graduate,3,No,No,No,60276.91326530613,0.0,83700.0,57000.0,Sedan
52.0,Male,Salaried,Married,Post Graduate,4,Yes,No,No,60276.91326530613,0.0,81600.0,67000.0,SUV
50.0,Male,Salaried,Married,Post Graduate,2,No,No,No,60276.91326530613,0.0,81300.0,63000.0,SUV
50.0,Female,Salaried,Married,Graduate,3,Yes,No,No,60276.91326530613,0.0,77400.0,62000.0,SUV
50.0,Female,Salaried,Married,Post Graduate,3,No,No,No,77600.0,0.0,77600.0,50000.0,SUV
50.0,Female,Business,Married,Graduate,3,No,No,No,74100.0,0.0,74100.0,66000.0,Hatchback
49.0,Male,Salaried,Single,Post Graduate,2,No,No,No,87600.0,0.0,87600.0,52000.0,SUV
49.0,Male,Business,Married,Post Graduate,3,No,No,No,86800.0,0.0,86800.0,60000.0,SUV
49.0,Female,Salaried,Married,Post Graduate,4,No,No,Yes,95100.0,70600.0,149000.0,64000.0,SUV
29.0,Female,Business,Married,Post Graduate,3,No,No,Yes,92600.0,70300.0,149000.0,58000.0,SUV
49.0,Male,Salaried,Married,Post Graduate,3,Yes,No,Yes,98400.0,60600.0,149000.0,54000.0,SUV
49.0,Male,Salaried,Married,Graduate,3,No,No,Yes,72700.0,60300.0,133000.0,53000.0,SUV
49.0,Female,Salaried,Married,Post Graduate,4,Yes,No,Yes,84600.0,45500.0,130100.0,62000.0,SUV
47.0,Female,Business,Married,Post Graduate,3,No,No,Yes,88000.0,40200.0,128200.0,55000.0,SUV
46.0,Female,Salaried,Married,Post Graduate,3,No,No,Yes,85400.0,40700.0,126100.0,59000.0,SUV
46.0,Male,Business,Married,Post Graduate,3,Yes,No,Yes,78000.0,600.0,78600.0,50000.0,SUV
46.0,Male,Salaried,Married,Post Graduate,3,No,No,Yes,87900.0,700.0,88600.0,50000.0,SUV
46.0,Female,Salaried,Married,Post Graduate,3,No,No,Yes,81900.0,27800.0,109700.0,31000.0,SUV
46.0,Male,Salaried,Single,Post Graduate,2,No,No,No,88500.0,0.0,88500.0,60000.0,SUV
46.0,Male,Salaried,Married,Post Graduate,3,No,No,No,87700.0,0.0,87700.0,56000.0,SUV
46.0,Female,Salaried,Married,Post Graduate,2,No,No,Yes,98300.0,70700.0,149000.0,61000.0,SUV
46.0,Male,Salaried,Married,Post Graduate,4,No,No,Yes,94900.0,70700.0,149000.0,67000.0,SUV
46.0,Male,Business,Married,Graduate,2,Yes,No,Yes,91100.0,70000.0,149000.0,66000.0,SUV
46.0,Male,Business,Married,Post Graduate,3,No,No,Yes,79800.0,40100.0,119900.0,56000.0,SUV
46.0,Female,Salaried,Married,Graduate,4,No,No,Yes,74500.0,40900.0,115400.0,61000.0,SUV
45.0,Female,Salaried,Married,Post Graduate,3,No,No,Yes,81700.0,27000.0,108700.0,52000.0,SUV
45.0,Male,Salaried,Single,Post Graduate,2,Yes,No,No,84700.0,0.0,84700.0,59000.0,SUV
45.0,Female,Business,Married,Post Graduate,3,No,No,No,82200.0,0.0,82200.0,61000.0,SUV
45.0,Male,Salaried,Married,Graduate,3,No,No,No,79600.0,0.0,79600.0,54000.0,SUV
45.0,Female,Salaried,Married,Post Graduate,3,No,No,No,77600.0,0.0,77600.0,64000.0,SUV
45.0,Male,Business,Married,Graduate,3,Yes,No,No,77700.0,0.0,77700.0,53000.0,SUV
53.0,Female,Salaried,Married,Graduate,1,Yes,No,No,72100.0,20225.5593220339,72100.0,60000.0,SUV
53.0,Female,Salaried,Married,Post Graduate,4,No,No,Yes,96600.0,70300.0,149000.0,66000.0,SUV
52.0,Female,Salaried,Married,Post Graduate,3,No,No,Yes,94900.0,60300.0,149000.0,55000.0,SUV
52.0,Male,Salaried,Married,Post Graduate,3,No,No,Yes,87600.0,20225.5593220339,88200.0,51000.0,SUV
52.0,Male,Salaried,Married,Graduate,3,Yes,No,Yes,72800.0,50800.0,123600.0,50000.0,SUV
52.0,Female,Business,Married,Graduate,3,Yes,No,Yes,73500.0,40500.0,114000.0,59000.0,SUV
52.0,Female,Salaried,Married,Post Graduate,4,Yes,No,No,90000.0,0.0,90000.0,61000.0,SUV
52.0,Female,Business,Married,Post Graduate,1,No,No,No,87100.0,0.0,87100.0,62000.0,SUV
52.0,Male,Business,Married,Post Graduate,4,No,No,No,79700.0,0.0,79700.0,63000.0,SUV
52.0,Female,Business,Married,Post Graduate,4,No,No,Yes,90300.0,20225.5593220339,149000.0,69000.0,SUV
52.0,Female,Salaried,Married,Graduate,3,No,No,Yes,72200.0,60700.0,132900.0,57000.0,SUV
52.0,Male,Business,Married,Post Graduate,3,Yes,No,Yes,78300.0,50400.0,128700.0,52000.0,SUV
52.0,Male,Salaried,Married,Post Graduate,3,No,No,Yes,80900.0,40900.0,121800.0,50000.0,SUV
52.0,Female,Salaried,Married,Post Graduate,3,No,No,No,90200.0,0.0,90200.0,57000.0,SUV
51.0,Male,Salaried,Married,Graduate,3,No,No,No,79500.0,0.0,79500.0,50000.0,SUV
51.0,Female,Business,Married,Graduate,2,No,No,No,73400.0,0.0,73400.0,68000.0,SUV
51.0,Female,Salaried,Married,Post Graduate,2,No,No,Yes,90600.0,80400.0,149000.0,69000.0,SUV
54.0,Male,Business,Married,Post Graduate,2,No,No,Yes,93900.0,60200.0,149000.0,57000.0,SUV
54.0,Male,Salaried,Married,Post Graduate,3,No,No,Yes,82200.0,60900.0,143100.0,54000.0,SUV
54.0,Male,Salaried,Married,Graduate,3,Yes,No,Yes,80600.0,20225.5593220339,81000.0,51000.0,SUV
54.0,Female,Salaried,Married,Post Graduate,3,Yes,No,No,85100.0,0.0,85100.0,54000.0,SUV
54.0,Male,Salaried,Married,Post Graduate,3,No,No,No,82300.0,0.0,82300.0,64000.0,SUV
54.0,Female,Salaried,Married,Post Graduate,3,No,No,No,82200.0,0.0,82200.0,58000.0,SUV
54.0,Female,Business,Married,Post Graduate,3,No,No,No,81600.0,0.0,81600.0,59000.0,SUV
54.0,Female,Business,Married,Post Graduate,2,Yes,No,No,60276.91326530613,0.0,79200.0,53000.0,SUV
53.0,Female,Business,Married,Post Graduate,3,No,No,Yes,82300.0,60100.0,142400.0,55000.0,SUV
53.0,Female,Business,Married,Graduate,2,No,No,Yes,70600.0,70200.0,140800.0,62000.0,SUV
53.0,Male,Salaried,Married,Graduate,4,Yes,No,Yes,80900.0,30000.0,110900.0,49000.0,SUV
53.0,Male,Business,Married,Graduate,2,Yes,No,Yes,79300.0,40300.0,119600.0,55000.0,SUV
53.0,Female,Salaried,Married,Graduate,3,Yes,No,Yes,72000.0,40800.0,112800.0,66000.0,SUV
53.0,Male,Salaried,Married,Post Graduate,3,No,No,No,88200.0,0.0,88200.0,56000.0,SUV
53.0,Male,Business,Married,Post Graduate,3,No,No,No,82300.0,0.0,82300.0,61000.0,SUV
53.0,Male,Salaried,Married,Post Graduate,3,Yes,No,No,60276.91326530613,0.0,81000.0,58000.0,SUV
53.0,Female,Business,Married,Graduate,3,No,No,No,78400.0,0.0,78400.0,60000.0,SUV
53.0,Female,Business,Married,Graduate,2,No,No,No,75400.0,0.0,75400.0,62000.0,SUV
52.0,Female,Salaried,Married,Post Graduate,4,No,No,Yes,93900.0,70800.0,149000.0,68000.0,SUV
52.0,Male,Salaried,Married,Graduate,2,No,No,Yes,91000.0,70800.0,149000.0,60000.0,SUV
52.0,Male,Salaried,Married,Post Graduate,2,No,No,Yes,89700.0,900.0,90600.0,51000.0,SUV
52.0,Female,Business,Married,Post Graduate,3,Yes,No,Yes,78800.0,60700.0,139500.0,55000.0,SUV
